bootstrap_id,valid_pairs,genuine_pairs,impostor_pairs,baseline_roc_auc,fused_roc_auc,delta_roc_auc,baseline_eer,fused_eer,delta_eer,baseline_accuracy_at_eer_threshold,fused_accuracy_at_eer_threshold
2085,56,52,4,0.985576923076923,0.9951923076923077,0.009615384615384692,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
2086,56,52,4,0.9567307692307692,0.9519230769230769,-0.004807692307692291,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
2087,56,52,4,0.9807692307692308,0.9663461538461537,-0.014423076923077094,0.038461538461538436,0.038461538461538436,0.0,0.9285714285714286,0.9285714285714286
2088,56,52,4,0.9423076923076923,0.9423076923076923,0.0,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
2089,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2090,56,52,4,0.9615384615384616,0.9615384615384616,0.0,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2091,56,52,4,0.9423076923076923,0.9519230769230769,0.009615384615384581,0.038461538461538436,0.038461538461538436,0.0,0.9285714285714286,0.9285714285714286
2092,56,52,4,0.9711538461538461,0.9711538461538461,0.0,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2093,56,52,4,0.9711538461538461,0.9615384615384616,-0.009615384615384581,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2094,56,52,4,0.9807692307692308,0.9807692307692307,-1.1102230246251565e-16,0.019230769230769218,0.009615384615384637,-0.009615384615384581,0.9642857142857143,0.9821428571428571
2095,56,52,4,0.9711538461538461,0.9807692307692308,0.009615384615384692,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2096,56,52,4,0.9711538461538461,0.9807692307692307,0.009615384615384581,0.019230769230769218,0.009615384615384637,-0.009615384615384581,0.9642857142857143,0.9821428571428571
2097,56,52,4,0.9423076923076923,0.9326923076923077,-0.009615384615384581,0.038461538461538436,0.038461538461538436,0.0,0.9285714285714286,0.9285714285714286
2098,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2099,56,52,4,0.9711538461538461,0.9759615384615384,0.004807692307692291,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2100,56,52,4,0.9567307692307692,0.9615384615384616,0.004807692307692402,0.028846153846153855,0.019230769230769218,-0.009615384615384637,0.9464285714285714,0.9642857142857143
2101,56,52,4,0.9807692307692308,0.9759615384615384,-0.004807692307692402,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2102,56,52,4,0.9711538461538461,0.9615384615384616,-0.009615384615384581,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2103,56,52,4,0.9855769230769231,0.9855769230769231,0.0,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
